record_id,customer_id,timestamp,hour,day_of_week,month,is_weekend,season,customer_type,age,monthly_income_usd,household_size,home_area_sqft,appliance_count,has_solar_panel,has_ev,tariff_scheme,contract_type,temperature_c,humidity_percent,peak_hour,price_per_kwh,ac_usage_hours,heater_usage_hours,washing_machine_usage,lighting_usage_hours,cooking_usage_hours,entertainment_usage_hours,ev_charging_kwh,electricity_consumption_kwh,pricing_influence_score,weather_influence_score,appliance_influence_score,household_influence_score,previous_hour_consumption_kwh,previous_day_same_hour_consumption_kwh,rolling_24h_avg_consumption_kwh,consumption_behavior_category
667,10001,2025-01-28 18:00:00,18,1,1,0,Winter,Small_Commercial,66,3747,1,1355,23,0,1,Dynamic_Pricing,Green_Energy,13.36,64.44,1,0.2589,0.153,0.35,0,0.173,0.108,0.689,0.0,2.058,11.39,6.702,0.816,3.545,2.058,2.058,2.058,Moderate_Usage
778,10001,2025-02-02 09:00:00,9,6,2,1,Winter,Residential,38,5083,2,2535,9,1,0,Dynamic_Pricing,Green_Energy,16.31,65.4,1,0.2044,0.189,0.023,0,0.304,0.081,0.868,0.0,1.253,5.94,4.538,0.59,3.955,2.058,1.656,1.656,Low_Usage
1011,10001,2025-02-12 02:00:00,2,2,2,0,Winter,Residential,26,4405,7,1051,12,0,1,Peak_Valley,Green_Energy,7.71,80.43,0,0.1106,0.192,0.909,0,0.951,0.136,0.211,1.225,3.607,3.44,11.739,2.738,4.461,1.253,2.306,2.306,Peak_Intensive_Usage
1170,10001,2025-02-18 17:00:00,17,1,2,0,Winter,Residential,59,6962,3,1122,6,0,0,Time_of_Use,Premium_Service,16.17,73.78,0,0.1202,0.058,0.087,0,0.0,0.2,0.173,0.0,0.662,2.48,5.061,0.28,2.652,3.607,1.895,1.895,Low_Usage
2037,10001,2025-03-26 20:00:00,20,2,3,0,Spring,Residential,38,3972,4,1892,14,0,0,Flat,Green_Energy,18.11,76.89,1,0.1355,0.043,0.038,0,0.672,0.663,0.622,0.0,1.496,0.95,3.762,0.701,4.412,0.662,1.815,1.815,Low_Usage
2096,10001,2025-03-29 07:00:00,7,5,3,1,Spring,Small_Commercial,75,2777,6,2558,19,0,0,Time_of_Use,Basic,24.13,71.03,1,0.2019,0.01,0.049,0,0.078,0.588,0.795,0.0,2.327,5.69,2.149,0.509,6.178,1.496,1.9,1.9,High_Usage
3133,10001,2025-05-11 12:00:00,12,6,5,1,Spring,Residential,59,4546,1,590,20,1,0,Time_of_Use,Green_Energy,28.89,65.63,0,0.1189,0.42,0.101,0,0.605,0.491,0.0,0.0,1.438,2.61,5.449,0.978,2.54,2.327,1.834,1.834,Low_Usage
3335,10001,2025-05-19 22:00:00,22,0,5,0,Spring,Residential,50,5644,7,2259,16,0,1,Flat,Basic,14.43,67.35,1,0.1484,0.198,0.334,0,0.805,0.182,0.613,0.473,2.699,0.34,6.045,1.502,5.989,1.438,1.942,1.942,High_Usage
3646,10001,2025-06-01 21:00:00,21,6,6,1,Summer,Residential,32,5915,7,883,17,0,0,Time_of_Use,Basic,26.9,55.55,1,0.2086,0.538,0.01,0,1.0,0.702,1.0,0.0,2.488,6.36,3.897,1.473,4.693,2.699,2.003,2.003,High_Usage
4268,10001,2025-06-27 19:00:00,19,4,6,0,Summer,Residential,53,5841,4,1694,23,0,1,Dynamic_Pricing,Basic,29.17,60.59,1,0.2479,0.377,0.114,0,0.629,0.44,0.585,0.0,2.068,10.29,5.407,1.074,4.934,2.488,2.01,2.01,Moderate_Usage
